Year of Extinction,# Extinct,Sum of Frequency
400,1,1
840,1,2
900,1,3
1300,1,4
1595,1,5
1600,1,6
1700,1,7
1710,1,8
1730,1,9
1756,1,10
1770,1,11
1810,1,12
1840,1,13
1850,2,15
1864,1,16
1875,1,17
1894,1,18
1898,1,19
1899,1,20
1900,2,22
1910,1,23
1920,2,25
1925,1,26
1930,2,28
1940,1,29
1942,1,30
1947,1,31
1950,2,33
1954,2,35
1958,1,36
1959,1,37
1960,2,39
1962,1,40
1965,2,42
1968,1,43
1970,1,44
1972,1,45
1974,2,47
1975,2,49
1977,1,50
1980,1,51
1982,1,52
1983,1,53
1987,1,54
1988,2,56
1989,2,58
1990,2,60
1991,1,61
1992,2,63
1993,1,64
1994,2,66
1996,2,68
1997,1,69
1998,2,71
1999,1,72
2002,2,74
2003,2,76
2004,1,77
2008,1,78
2009,2,80
